,f_location,latitude,longitude,location
62,"Chaoyangcun, Chongming District, Shanghai, China, 202183",31.52325,121.85857,朝阳村
63,"Chezhancun, Pudong, Shanghai, China, 201311",30.976559,121.742044,车站村
64,"95 Tao Pu Lu, Pu Tuo Qu, Shang Hai Shi, China, 200333",31.260562,121.401691,车站新村
65,"Chenxiangcun, Pudong, Shanghai, China, 201316",31.06731,121.5922,沉香村
66,"Chen Chun Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17533,121.5602,陈春东路88弄
67,"Chen Chun Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17533,121.5602,陈春东路99弄
68,"China, Shang Hai Shi, Pu Dong Xin Qu, 陈春路299号 邮政编码: 200125",31.17205,121.54953,陈春路299号
69,"Chen Chun Lu, Shang Hai Shi, China",31.07685,121.35449,陈春路620弄
70,"Chenqiao Village, Qingpu District, Shanghai, China, 201707",31.16712,121.1213,陈桥村
71,"Chen Yang Xi Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201202",31.17317,121.73912,晨阳西路150弄
72,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路1066弄
73,"China, Shang Hai Shi, Pu Dong Xin Qu, 成山路1139号 邮政编码: 200125",31.17514,121.52059,成山路1139号
74,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路2008弄
75,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路2388弄
76,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路248弄
77,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路24弄
78,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路278弄
79,"China, Shang Hai Shi, Pu Dong Xin Qu, 成山路300号 邮政编码: 200126",31.171419,121.503221,成山路300弄
80,"China, Shang Hai Shi, Pu Dong Xin Qu, 成山路558号 邮政编码: 200126",31.17222,121.50856,成山路558号
81,"Cheng Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17448,121.51989,成山路608弄
82,"Cheng Feng Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18655,121.6783,城丰路143弄
83,"Cheng Feng Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18655,121.6783,城丰路245弄
84,"Cheng Feng Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18655,121.6783,城丰路288弄
85,"Cheng Feng Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18655,121.6783,城丰路70弄
86,"Chengnancun, Jiading District, Shanghai, China, 201800",31.376385,121.254442,城南村
87,"Cheng Nan Lu, Shang Hai Shi, China",31.18871,121.69152,城南路41弄
88,"Cheng Nan Lu, Shang Hai Shi, China",31.18871,121.69152,城南路550弄
89,"Cheng Nan Lu, Shang Hai Shi, China",31.18871,121.69152,城南路627弄
90,"Cheng Xi Lu, Shang Hai Shi, China",31.19466,121.69018,城西路195弄
91,"Chi Yue Lu, Shang Hai Shi, China",30.90701,121.811,池月路847弄
92,"Chudiancun, Pudong, Shanghai, China, 201322",31.13753,121.7337,储店村储家宅
93,,,,储店村西乔家宅
94,"Chuloucun, Pudong, Shanghai, China, 201316",31.068116,121.616008,储楼村
95,"Shanghai, China",31.230416,121.473701,川环南路408弄
96,"Shanghai, China",31.230416,121.473701,川环南路898弄
97,"Huang Hua Lu, Min Hang Qu, Shang Hai Shi, China",31.18076,121.3645,川黄路186号
98,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路1215号
99,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路1666弄
100,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路2015弄
101,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路2016号
102,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路2278弄
103,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路2301弄
104,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路3321弄
105,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路4850弄
106,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路5122弄
107,"Chuansha, Baoshan, Shanghai, China, 200949",31.47109,121.3653,川沙路5245弄
108,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路2788号
109,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路2828弄
110,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路2866弄
111,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路3038弄
112,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路4003号
113,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路4058弄
114,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路4293弄
115,"Zhou Zhu Gong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.10896,121.66529,川周公路4318弄
116,"Chuang Xin Xi Lu, Shang Hai Shi, China",31.4258,121.62936,创新西路199弄
117,"Chuang Xin Xi Lu, Shang Hai Shi, China",31.4258,121.62936,创新西路333弄
118,"China, Shang Hai Shi, Pu Dong Xin Qu, 创新西路76号 邮政编码: 201210",31.20373,121.65692,创新西路76号
119,"China, Shang Hai Shi, Xu Hui Qu, Xujiahui, 余庆路180弄 邮政编码: 200030",31.19882,121.440816,创新中路180弄
120,"4F3W+8V8, Minhang District, Shanghai, China, 200123",31.103289,121.497207,创新中路199弄
121,"China, Shang Hai Shi, Pu Dong Xin Qu, 创业路798号 邮政编码: 201201",31.21517,121.69697,创业路798号
122,"Chun Hui Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200137",31.33722,121.58278,春晖路276弄
123,"Chun Hui Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200137",31.33722,121.58278,春晖路446弄
124,"Chun Quan Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201210",31.2153801,121.6502102,春泉路45弄
125,"Dongxue Jiazhai, Pudong, Shanghai, China, 201208",31.310362,121.638833,大洪村东薛家宅
126,"China, Shang Hai Shi, 闸北区 Bao De Lu, 1010弄 邮政编码: 200435",31.3152928,121.4499456,大同路1010弄
127,"China, 上海市浦东新区大星村 邮政编码: 201201",31.2216599,121.72174,大星村
128,"Dazhongcun, Pudong, Shanghai, China, 201210",31.225443,121.647509,大众村
129,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路100弄
130,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路1066弄
131,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路1125弄
132,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路1134弄
133,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路1189弄
134,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路155弄
135,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路24弄
136,"De Ping Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.24689,121.56409,德平路25弄
137,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路150弄
138,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路220弄
139,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路223弄
140,"China, Shang Hai Shi, Pu Dong Xin Qu, 德州路255弄号 邮政编码: 200126",31.170408,121.492219,德州路255弄
141,"China, Shang Hai Shi, Pu Dong Xin Qu, 成山路300号 邮政编码: 200126",31.171419,121.503221,德州路300弄
142,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路380弄
143,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路420弄
144,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路421弄
145,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路465弄
146,"De Zhou Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.16753,121.48944,德州路60弄
147,"Dieqiaocun, Pudong, Shanghai, China, 201318",31.12813999999999,121.61648,叠桥村
148,"Ding Xiang Lu, Shang Hai Shi, China",31.21753,121.54072,丁香路1089弄
149,"Ding Xiang Lu, Shang Hai Shi, China",31.21753,121.54072,丁香路1299弄
150,"Ding Xiang Lu, Shang Hai Shi, China",31.21753,121.54072,丁香路1399弄
151,"Ding Shui Lu, 洋泾港 Pu Dong Xin Qu, Shang Hai Shi, China, 200135",31.2424,121.54959,定水路50弄
152,"Dong Ba Zao, Pu Dong Xin Qu, Shang Hai Shi, China, 201318",31.11492,121.58342,东八灶115弄
153,"Dong Ba Zao, Pu Dong Xin Qu, Shang Hai Shi, China, 201318",31.11492,121.58342,东八灶63弄
154,"Dong Ba Zao, Pu Dong Xin Qu, Shang Hai Shi, China, 201318",31.11492,121.58342,东八灶80弄
155,"Dong Bo Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.2839611,121.5821694,东波路248弄
156,"Dong Bo Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.2839611,121.5821694,东波路325弄
157,"Dong Bo Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.2839611,121.5821694,东波路49弄
158,"Dong Bo Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.2839611,121.5821694,东波路585弄
159,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路1365号
160,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路1523弄
161,"China, Shang Hai Shi, Chang Ning Qu, 长宁路1600弄 邮政编码: 200050",31.21725,121.407319,东方路1600弄
162,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路1663弄
163,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路1800弄
164,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路1881弄
165,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路3344弄
166,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路3401弄
167,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路402弄
168,"Dong Fang Lu, Shang Hai Shi, China",31.21702,121.0782,东方路573弄
169,"Dong Huan Long Lu, Tangqiao, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.2031655,121.5278699,东环龙路181弄
170,"China, Shang Hai Shi, Pu Dong Xin Qu, Bei Zhang Jia Bang Lu, 东建新村4号 邮政编码: 200127",31.217115,121.520586,东建新村
171,"Dong Jing Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.29281,121.63123,东靖路2250弄
172,"Dong Jing Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.29281,121.63123,东靖路315弄
173,"Dong Jing Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.29281,121.63123,东靖路669弄
174,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路1018弄
175,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路1182弄
176,"China, Shang Hai Shi, Pu Dong Xin Qu, 五莲路（东陆路1182弄）边门 邮政编码: 200129",31.272209,121.595645,东陆路1268弄
177,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路1350弄
178,"China, Shang Hai Shi, Pu Dong Xin Qu, 东陆路1351号 邮政编码: 200129",31.26969,121.59939,东陆路1351号
179,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路1456弄
180,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路1485弄
181,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路1528弄
182,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路2000弄
183,"Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.27165,121.5969,东陆路429弄
184,"898弄 Dong Lu Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.2738108,121.5922671,东陆路898弄
185,"Dong Ming Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.14077,121.5274,东明路660弄
186,"Dong San Jie, Shang Hai Shi, China",31.35368,121.44781,东三街102弄
187,"China, Shang Hai Shi, Xu Hui Qu, 龙吴路15弄 邮政编码: 200235",31.173213,121.444687,东三街15弄
188,"Dong San Li Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.1976373,121.5170481,东三里桥路160弄
189,"Dong San Li Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.1976373,121.5170481,东三里桥路190弄
190,"Dong San Li Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.1976373,121.5170481,东三里桥路211弄
191,"Dong San Li Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.1976373,121.5170481,东三里桥路245弄
192,"Dong San Li Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.1976373,121.5170481,东三里桥路79弄
193,"China, Shang Hai Shi, Pu Dong Xin Qu, 东书房路111号 邮政编码: 200125",31.16893,121.53347,东书房路111号
194,"China, Shang Hai Shi, Pu Dong Xin Qu, 东书房路225号 邮政编码: 200125",31.16805,121.53396,东书房路225号
195,"Dong Shu Fang Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16565,121.53511,东书房路390弄
196,"Dong Shu Fang Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16565,121.53511,东书房路560弄
197,"Dong Xiu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.20736,121.53677,东绣路1155弄
198,"Dong Xiu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.20736,121.53677,东绣路1389弄
199,"Dong Yu Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.15497,121.48189,东育路95弄
200,"Du Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201318",31.1150943,121.5479023,渡桥路78弄
201,"E Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.21454,121.5263406,峨山路180弄
202,"E Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.21454,121.5263406,峨山路187弄
203,"E Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.21454,121.5263406,峨山路280弄
204,"E Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.21454,121.5263406,峨山路380弄
205,"E Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.21454,121.5263406,峨山路420弄
206,"China, Shang Hai Shi, Pu Dong Xin Qu, 繁荣东路 邮政编码: 201318",31.106682,121.586854,繁荣东路150弄
207,"China, Shang Hai Shi, Pu Dong Xin Qu, 繁荣东路 邮政编码: 201318",31.106682,121.586854,繁荣东路159弄
208,"Fan Rong Lu, Shang Hai Shi, China",31.10241,121.56315,繁荣路266弄
209,"Fang Zhu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",30.89437,121.8998,方竹路222弄
210,"Fang Zhu Lu, Pu Dong Xin Qu, Shang Hai Shi, China",30.89437,121.8998,方竹路789弄
211,"China, Shang Hai Shi, Pu Dong Xin Qu, 芳草路238弄 邮政编码: 201204",31.193236,121.556009,芳草路352弄
212,"Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.19607,121.56036,芳华路188弄
213,"China, Shang Hai Shi, Pu Dong Xin Qu, 芳华路253弄 邮政编码: 201204",31.195237,121.555416,芳华路371弄
214,"Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.19607,121.56036,芳华路411弄
215,"Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.19607,121.56036,芳华路478弄
216,"503 Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.1960949,121.560684,芳华路503弄
217,"Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.19607,121.56036,芳华路580弄
218,"Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.19607,121.56036,芳华路660弄
219,"713 Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.1965381,121.5641145,芳华路713弄
220,"Fang Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201204",31.19607,121.56036,芳华路739弄
221,"Feiqiaocun, Pudong, Shanghai, China, 201316",31.043202,121.612823,飞桥村
222,"Fengqiaocun, Pudong, Shanghai, China, 201317",31.01296,121.59289,丰桥村
223,"Fulancun, Fengxian District, Shanghai, China, 200240",30.99611,121.448376,扶栏村
224,"Bao Shan Fan Dian, 彭越浦 Pu Dong Xin Qu, Shang Hai Shi, China, 200120",31.2327584,121.5269643,福山路100弄
225,"Fu Shan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.23309,121.5273,福山路102弄
226,"Gang Hui Lu, Pu Dong Xin Qu, Shang Hai Shi, China",30.8689888,121.8559663,港辉路236弄
227,,,,高宝路229弄
228,"Gao Bao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.29052,121.62118,高宝路379弄
229,"Gao Bao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.29052,121.62118,高宝路68弄
230,"Gao Bo Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200128",31.2983,121.58076,高博路188弄
231,"Gao Bo Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200128",31.2983,121.58076,高博路210弄
232,"Gao Ke Xi Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18766,121.53756,高科西路2757弄
233,"China, Shang Hai Shi, Pu Dong Xin Qu, 高科西路2919号 邮政编码: 201204",31.18944,121.55914,高科西路2919号
234,"Gao Ke Xi Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18766,121.53756,高科西路3000弄
235,"Gao Mu Qiao Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.18318,121.6334,高木桥路219弄
236,"China, Shang Hai Shi, Pu Dong Xin Qu, 高青路2861号 邮政编码: 200125",31.16167,121.52669,高青路2861号
237,"Gao Qing Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16121,121.52974,高青路4567弄
238,"China, Shang Hai Shi, Pu Dong Xin Qu, 工农北路1号 邮政编码: 201321",31.05003,121.75693,工农北路1号
239,"Shanghai, China",31.230416,121.473701,工农新村
240,"Gong Feng Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.25842,121.69281,龚丰路576弄
241,"Gong Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201209",31.26492,121.68482,龚华路425弄
242,"Gong Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201209",31.26492,121.68482,龚华路479弄
243,"Gong Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201209",31.26492,121.68482,龚华路50弄
244,"Gong Lu Zhi Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.26684,121.70053,龚路支路473弄
245,"Gong Bei Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.05651,121.77543,拱北路278弄
246,"Gong Chuan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.06346,121.74077,拱川路615弄
247,"Gong Hai Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.06998,121.74351,拱海路79弄
248,"Gong Le Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.06197,121.74578,拱乐路699号
